WKT,Business Name,Industry Category,Corridor,Latitude,Longitude,Google Maps Link
"POINT (77.084182 11.06013)",M3 AUTOMATION,Electronics,Avinashi Road – Arasur Industrial Corridor,11.06013,77.084182,https://www.google.com/maps/place/M3+AUTOMATION/data=!4m7!3m6!1s0x3ba8561e8c1b82f7:0xabdc97ba32f72142!8m2!3d11.06013!4d77.084182!16s%2Fg%2F11c2nh68g2!19sChIJ94IbjB5WqDsRQiH3MrqX3Ks?authuser=0&hl=en&rclk=1
"POINT (77.0967735 11.0767056)",RD FOOD PRODUCT,Food Processing,Avinashi Road – Arasur Industrial Corridor,11.0767056,77.0967735,https://www.google.com/maps/place/RD+FOOD+PRODUCT/data=!4m7!3m6!1s0x3ba8577d2a710fa3:0xbf10041744151134!8m2!3d11.0767056!4d77.0967735!16s%2Fg%2F11rfrs5dwv!19sChIJow9xKn1XqDsRNBEVRBcEEL8?authuser=0&hl=en&rclk=1
"POINT (77.0778636 11.0517414)",DIVINE FOODS INDUSTRY,Food Processing,Avinashi Road – Arasur Industrial Corridor,11.0517414,77.0778636,https://www.google.com/maps/place/DIVINE+FOODS+INDUSTRY/data=!4m7!3m6!1s0x3ba857f23c16db1f:0xaef2b404a77a6!8m2!3d11.0517414!4d77.0778636!16s%2Fg%2F11trzmt6dh!19sChIJH9sWPPJXqDsRpndKQCvvCgA?authuser=0&hl=en&rclk=1
"POINT (77.0555597 11.0706119)",Purposeful Food Co,Food Processing,Avinashi Road – Arasur Industrial Corridor,11.0706119,77.0555597,https://www.google.com/maps/place/Purposeful+Food+Co/data=!4m7!3m6!1s0x3ba8f95ceaf455af:0x643b000bddd82bbc!8m2!3d11.0706119!4d77.0555597!16s%2Fg%2F11tj6fdxdn!19sChIJr1X06lz5qDsRvCvY3QsAO2Q?authuser=0&hl=en&rclk=1
"POINT (77.1034375 11.0699567)",vsan agro and dairy Industries,Food Processing,Avinashi Road – Arasur Industrial Corridor,11.0699567,77.1034375,https://www.google.com/maps/place/vsan+agro+and+dairy+Industries/data=!4m7!3m6!1s0x3ba8f70d726d8d49:0xee5ac1e6b2806b56!8m2!3d11.0699567!4d77.1034375!16s%2Fg%2F11rs1tyjsx!19sChIJSY1tcg33qDsRVmuAsubBWu4?authuser=0&hl=en&rclk=1
"POINT (77.1085653 11.0528412)",NAVA DHAAN AGRO,Food Processing,Avinashi Road – Arasur Industrial Corridor,11.0528412,77.1085653,https://www.google.com/maps/place/NAVA+DHAAN+AGRO/data=!4m7!3m6!1s0x3ba855d657fc8d73:0x112823037ef7a554!8m2!3d11.0528412!4d77.1085653!16s%2Fg%2F11h32gqhr_!19sChIJc438V9ZVqDsRVKX3fgMjKBE?authuser=0&hl=en&rclk=1
"POINT (77.0664239 11.0702946)",GAP Foods,Food Processing,Avinashi Road – Arasur Industrial Corridor,11.0702946,77.0664239,https://www.google.com/maps/place/GAP+Foods/data=!4m7!3m6!1s0x3ba8f9fe09b8edb5:0xdd74b8c9297ec4b0!8m2!3d11.0702946!4d77.0664239!16s%2Fg%2F11w28z4cm4!19sChIJte24Cf75qDsRsMR-Kcm4dN0?authuser=0&hl=en&rclk=1
"POINT (77.0223357 11.0200332)",Chithi Foods FMCG Manufacturer Private Limited,Food Processing,Avinashi Road – Arasur Industrial Corridor,11.0200332,77.0223357,https://www.google.com/maps/place/Chithi+Foods+FMCG+Manufacturer+Private+Limited/data=!4m7!3m6!1s0x3ba857f7ff4a6b13:0x8801b14501c992a7!8m2!3d11.0200332!4d77.0223357!16s%2Fg%2F11fp8v3b1b!19sChIJE2tK__dXqDsRp5LJAUWxAYg?authuser=0&hl=en&rclk=1
"POINT (77.0839127 11.0617737)",Handy Think Engineering,Food Processing,Avinashi Road – Arasur Industrial Corridor,11.0617737,77.0839127,https://www.google.com/maps/place/Handy+Think+Engineering/data=!4m7!3m6!1s0x3ba8561e6aef06f5:0xdfc108bc2eed8992!8m2!3d11.0617737!4d77.0839127!16s%2Fg%2F11gcbx2bz_!19sChIJ9Qbvah5WqDsRkontLrwIwd8?authuser=0&hl=en&rclk=1
"POINT (77.0667748 11.0652399)",Bala Krishna Engineering,Food Processing,Avinashi Road – Arasur Industrial Corridor,11.0652399,77.0667748,https://www.google.com/maps/place/Bala+Krishna+Engineering/data=!4m7!3m6!1s0x3ba8f882df71c62b:0xdf5c64157186d35f!8m2!3d11.0652399!4d77.0667748!16s%2Fg%2F11h8wq7__l!19sChIJK8Zx34L4qDsRX9OGcRVkXN8?authuser=0&hl=en&rclk=1
"POINT (77.1462235 11.0912409)",Vita Foods and beverage,Food Processing,Avinashi Road – Arasur Industrial Corridor,11.0912409,77.1462235,https://www.google.com/maps/place/Vita+Foods+and+beverage/data=!4m7!3m6!1s0x3ba8ff1c3b3204af:0xa4a77fd1c839458d!8m2!3d11.0912409!4d77.1462235!16s%2Fg%2F11xmp6_9bs!19sChIJrwQyOxz_qDsRjUU5yNF_p6Q?authuser=0&hl=en&rclk=1
